MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
19.5,22.4,15.6,6.2,0.0,41,17,20,92,84,1017.6,1017.4,8,8,20.7,20.9,1,1 
19.5,25.6,6.0,3.4,2.7,41,9,13,83,73,1017.9,1016.4,7,7,22.4,24.8,1,1
21.6,24.5,6.6,2.4,0.1,41,17,2,88,86,1016.7,1015.6,7,8,23.5,23.0,1,1
20.2,22.8,18.8,2.2,0.0,41,22,20,83,90,1014.2,1011.8,8,8,21.4,20.9,1,1
19.7,25.7,77.4,4.8,0.0,41,11,6,88,74,1008.3,1004.8,8,8,22.5,25.5,1,1
20.2,27.2,1.6,2.6,8.6,41,9,22,69,62,1002.7,998.6,6,6,23.8,26.0,1,1
18.6,26.3,6.2,5.2,5.2,41,15,15,75,80,999.0,1000.3,4,7,21.7,22.3,1,1
17.2,22.3,27.6,5.8,2.1,41,7,15,77,61,1008.3,1007.4,7,8,18.9,21.1,1,1
16.4,20.8,12.6,4.8,3.0,41,19,9,92,91,1006.4,1007.6,7,7,17.1,16.5,1,1
18.9,27.3,0.0,6.8,6.7,41,7,24,68,67,1010.7,1007.5,7,7,22.9,24.7,0,1
18.4,22.8,14.4,7.0,3.3,41,24,30,87,70,1009.2,1011.7,8,7,20.9,21.0,1,1
19.3,26.2,0.0,3.6,8.4,41,2,28,73,65,1018.3,1015.6,1,6,23.0,25.8,0,1
19.0,29.0,22.2,8.2,3.3,41,0,15,82,52,1014.1,1010.6,7,7,21.3,24.7,1,1
17.9,21.4,4.2,4.2,0.0,41,20,9,77,88,1010.0,1010.1,8,8,20.4,19.2,1,1
12.8,22.0,0.2,6.2,11.3,41,19,31,55,46,1020.9,1020.6,0,1,15.9,21.2,0,1
19.9,24.9,0.0,7.6,4.5,41,13,24,83,75,1021.3,1020.7,5,7,22.9,23.3,0,1
17.7,19.6,1.0,7.0,0.0,41,26,22,87,80,1017.3,1018.9,8,8,17.8,18.4,0,1
16.3,24.8,0.4,4.0,6.1,41,9,13,82,57,1023.1,1020.6,5,6,18.5,24.8,0,1
19.8,27.5,0.4,6.4,2.5,41,4,17,81,58,1011.1,1006.9,5,7,21.4,27.0,0,1
13.1,22.7,0.0,3.6,6.4,41,13,20,71,55,1027.2,1024.6,5,6,17.7,22.1,0,1
15.3,22.0,12.0,3.2,4.7,41,11,15,83,70,1026.3,1024.2,5,6,18.2,19.8,1,1
14.6,22.1,9.6,5.4,5.1,41,20,17,86,75,1026.5,1024.1,6,6,17.0,18.9,1,1
15.6,22.2,22.8,5.4,5.8,41,13,20,96,62,1024.6,1021.4,7,5,16.3,21.1,1,1
15.1,22.7,0.0,1.8,6.6,41,11,4,81,75,1016.4,1013.4,5,6,17.4,19.7,0,1
13.2,18.9,11.0,3.2,5.2,41,19,30,82,64,1019.6,1019.2,7,3,15.9,18.8,1,1
13.8,19.7,2.8,2.8,1.7,41,20,22,85,71,1025.4,1023.9,7,7,15.9,19.0,1,1
